PK,DataDiRiferimento,Macrozona,SbilAggregatoZonale[MWh],SegnoAggregatoZonale,Scambi[MWh],Estero[MWh],LoadingSliceDate,SliceDate
MjIvMTAvMjAyNCAyMToxNXxOT1JE,22/10/2024 21:15,NORD,-83.6130000000,-,-832.3560000000,1391.3900000000,20250203,20250203
MjIvMTAvMjAyNCAwNDoxNXxOT1JE,22/10/2024 04:15,NORD,-8.7650000000,-,-524.8930000000,1299.8860000000,20250203,20250203
MjIvMTAvMjAyNCAxNjowMHxOT1JE,22/10/2024 16:00,NORD,51.0760000000,+,-465.2310000000,930.1790000000,20250203,20250203
MjIvMTAvMjAyNCAxODoxNXxOT1JE,22/10/2024 18:15,NORD,16.2390000000,+,-951.2360000000,1082.9950000000,20250203,20250203
MjIvMTAvMjAyNCAwOTo0NXxTVUQ=,22/10/2024 09:45,SUD,212.6750000000,+,211.6750000000,219.9330000000,20250203,20250203
MjIvMTAvMjAyNCAwODo0NXxOT1JE,22/10/2024 08:45,NORD,-48.9010000000,-,-289.1590000000,960.0210000000,20250203,20250203
MjIvMTAvMjAyNCAxNzo0NXxOT1JE,22/10/2024 17:45,NORD,27.8750000000,+,-886.3310000000,1027.9590000000,20250203,20250203
MjIvMTAvMjAyNCAyMDoxNXxOT1JE,22/10/2024 20:15,NORD,-2.1490000000,-,-827.6330000000,1225.7540000000,20250203,20250203
MjIvMTAvMjAyNCAyMzo0NXxOT1JE,22/10/2024 23:45,NORD,37.6080000000,+,-713.3910000000,1227.9470000000,20250203,20250203
MjIvMTAvMjAyNCAwMDoxNXxTVUQ=,22/10/2024 00:15,SUD,-142.3110000000,-,666.8860000000,216.4940000000,20250203,20250203
MjIvMTAvMjAyNCAwMDozMHxOT1JE,22/10/2024 00:30,NORD,7.3520000000,+,-693.1780000000,1285.4890000000,20250203,20250203
MjIvMTAvMjAyNCAwMjoxNXxOT1JE,22/10/2024 02:15,NORD,-14.1530000000,-,-556.7720000000,1273.5140000000,20250203,20250203
MjIvMTAvMjAyNCAxMzoxNXxTVUQ=,22/10/2024 13:15,SUD,-13.1170000000,-,94.6100000000,230.3810000000,20250203,20250203
MjIvMTAvMjAyNCAyMDozMHxOT1JE,22/10/2024 20:30,NORD,135.5990000000,+,-759.6780000000,1169.2520000000,20250203,20250203
MjIvMTAvMjAyNCAwMTo0NXxTVUQ=,22/10/2024 01:45,SUD,-76.7460000000,-,567.9320000000,235.5830000000,20250203,20250203
MjIvMTAvMjAyNCAxMjoxNXxOT1JE,22/10/2024 12:15,NORD,166.5710000000,+,-282.7560000000,1048.9050000000,20250203,20250203
MjIvMTAvMjAyNCAxMzoxNXxOT1JE,22/10/2024 13:15,NORD,190.9260000000,+,-94.6100000000,1028.2400000000,20250203,20250203
MjIvMTAvMjAyNCAwMzo0NXxOT1JE,22/10/2024 03:45,NORD,20.2370000000,+,-555.1830000000,1257.1300000000,20250203,20250203
MjIvMTAvMjAyNCAxNTowMHxOT1JE,22/10/2024 15:00,NORD,82.9280000000,+,-335.2140000000,1013.5800000000,20250203,20250203
MjIvMTAvMjAyNCAyMzowMHxOT1JE,22/10/2024 23:00,NORD,-184.5040000000,-,-739.9450000000,1285.5430000000,20250203,20250203
MjIvMTAvMjAyNCAwOTo0NXxOT1JE,22/10/2024 09:45,NORD,207.5130000000,+,-211.6750000000,1008.5860000000,20250203,20250203
MjIvMTAvMjAyNCAwNToxNXxOT1JE,22/10/2024 05:15,NORD,73.5640000000,+,-591.6010000000,1297.7170000000,20250203,20250203
MjIvMTAvMjAyNCAxMDo0NXxOT1JE,22/10/2024 10:45,NORD,151.1270000000,+,-192.6290000000,1062.5940000000,20250203,20250203
MjIvMTAvMjAyNCAyMDozMHxTVUQ=,22/10/2024 20:30,SUD,38.0860000000,+,759.6780000000,-14.8720000000,20250203,20250203
MjIvMTAvMjAyNCAyMzoxNXxTVUQ=,22/10/2024 23:15,SUD,-9.0430000000,-,786.1410000000,120.0080000000,20250203,20250203
MjIvMTAvMjAyNCAxOTowMHxOT1JE,22/10/2024 19:00,NORD,-35.6260000000,-,-957.6790000000,1244.7610000000,20250203,20250203
